Zipcode,Income 50-74K,Income 75-100K,High School Diploma,Bachelor's Degree,Non Poverty Family,Poverty Family
64064,37.0,10.0,1908.0,3598.0,2259.0,0.0
64077,0.0,4.0,607.0,125.0,111.0,16.0
64088,0.0,0.0,460.0,114.0,147.0,0.0
64119,8.0,0.0,5257.0,3729.0,2244.0,62.0
64137,0.0,0.0,1627.0,1425.0,585.0,89.0
64449,0.0,0.0,164.0,55.0,65.0,25.0
64456,0.0,6.0,397.0,139.0,125.0,28.0
64471,0.0,0.0,137.0,19.0,44.0,10.0
64474,0.0,0.0,197.0,97.0,120.0,0.0
64477,0.0,0.0,879.0,391.0,382.0,0.0
64484,0.0,0.0,345.0,64.0,150.0,0.0
64490,0.0,0.0,519.0,166.0,106.0,11.0
64493,0.0,0.0,171.0,66.0,78.0,2.0
64501,0.0,0.0,2628.0,561.0,683.0,382.0
64503,0.0,0.0,2999.0,1010.0,1142.0,12.0
64504,0.0,0.0,2863.0,674.0,875.0,96.0
64506,11.0,0.0,4163.0,3057.0,2113.0,26.0
64622,0.0,0.0,104.0,11.0,122.0,9.0
64635,0.0,0.0,170.0,27.0,67.0,2.0
64034,36.0,0.0,1189.0,1525.0,1476.0,29.0
64167,0.0,0.0,47.0,115.0,75.0,0.0
64154,6.0,0.0,1348.0,1968.0,1062.0,66.0
64163,0.0,0.0,113.0,94.0,16.0,4.0
64166,0.0,0.0,48.0,37.0,0.0,0.0
64438,0.0,0.0,75.0,2.0,7.0,0.0
64443,0.0,0.0,246.0,134.0,199.0,0.0
64451,0.0,0.0,128.0,29.0,36.0,0.0
64466,0.0,0.0,140.0,17.0,26.0,3.0
64483,0.0,0.0,135.0,46.0,150.0,5.0
64487,0.0,0.0,183.0,79.0,45.0,8.0
64489,0.0,0.0,512.0,200.0,194.0,125.0
64601,0.0,0.0,2924.0,1108.0,1141.0,89.0
64620,0.0,0.0,187.0,74.0,57.0,22.0
64628,0.0,0.0,1621.0,327.0,562.0,110.0
64630,0.0,0.0,214.0,51.0,49.0,13.0
64644,0.0,0.0,736.0,395.0,518.0,10.0
64063,24.0,0.0,3016.0,3253.0,2102.0,73.0
64070,0.0,0.0,706.0,484.0,383.0,6.0
64078,8.0,0.0,1823.0,1034.0,992.0,166.0
77994,0.0,0.0,107.0,72.0,36.0,0.0
77015,0.0,0.0,7358.0,2491.0,5427.0,1281.0
77022,8.0,0.0,4531.0,863.0,1809.0,559.0
77026,0.0,0.0,4168.0,877.0,815.0,650.0
77027,53.0,8.0,454.0,5348.0,653.0,0.0
77047,0.0,0.0,4020.0,2912.0,1908.0,492.0
77005,85.0,72.0,432.0,6171.0,3569.0,214.0
77007,93.0,11.0,1518.0,12489.0,1176.0,122.0
77017,0.0,0.0,5268.0,1093.0,3063.0,680.0
77019,87.0,50.0,885.0,6877.0,1150.0,150.0
77378,0.0,0.0,3236.0,1111.0,1596.0,86.0
77356,113.0,6.0,3364.0,5286.0,2741.0,30.0
77357,4.0,0.0,3554.0,1183.0,2738.0,749.0
77359,0.0,0.0,283.0,39.0,0.0,0.0
77382,92.0,133.0,2026.0,9257.0,9765.0,130.0
77396,16.0,57.0,6749.0,5709.0,5158.0,550.0
77419,0.0,0.0,300.0,106.0,260.0,0.0
77428,0.0,0.0,0.0,0.0,0.0,0.0
77432,0.0,0.0,0.0,16.0,27.0,0.0
77435,0.0,0.0,758.0,587.0,542.0,119.0
77441,21.0,0.0,724.0,2521.0,1791.0,37.0
77447,6.0,0.0,2594.0,1129.0,1878.0,211.0
77025,79.0,61.0,1824.0,6021.0,2528.0,66.0
77038,0.0,0.0,3915.0,913.0,3310.0,952.0
77039,0.0,0.0,3878.0,417.0,2691.0,1033.0
77040,44.0,8.0,6483.0,6101.0,4480.0,897.0
