Zipcode,Income Below 75K,Income Over 100K,High School Diploma,Master Degree,Poverty Family,Non Poverty Family
03102,55.0,0.0,5910.0,1353.0,514.0,1799.0
03045,77.0,0.0,2437.0,729.0,20.0,1365.0
03106,24.0,31.0,1923.0,1092.0,0.0,1689.0
03229,12.0,0.0,658.0,924.0,11.0,613.0
03243,0.0,0.0,234.0,65.0,0.0,58.0
03263,15.0,0.0,780.0,124.0,43.0,316.0
03444,0.0,0.0,357.0,153.0,16.0,189.0
03448,5.0,0.0,163.0,52.0,5.0,63.0
03464,0.0,0.0,224.0,48.0,0.0,107.0
03466,0.0,0.0,309.0,65.0,0.0,148.0
03608,17.0,0.0,334.0,240.0,0.0,245.0
03765,0.0,0.0,244.0,12.0,0.0,81.0
03773,15.0,0.0,1660.0,300.0,0.0,565.0
03816,0.0,0.0,220.0,138.0,0.0,107.0
03830,0.0,0.0,385.0,17.0,0.0,208.0
03235,0.0,0.0,1961.0,146.0,118.0,537.0
03237,0.0,0.0,494.0,175.0,10.0,164.0
03262,0.0,0.0,203.0,39.0,0.0,68.0
03264,0.0,0.0,1058.0,573.0,0.0,499.0
03266,0.0,0.0,601.0,116.0,15.0,129.0
03278,0.0,0.0,366.0,178.0,7.0,322.0
03282,0.0,0.0,186.0,49.0,9.0,64.0
03442,0.0,0.0,349.0,115.0,0.0,145.0
03574,6.0,0.0,459.0,127.0,0.0,207.0
03576,6.0,0.0,740.0,155.0,34.0,206.0
03584,0.0,0.0,930.0,191.0,26.0,295.0
03588,3.0,0.0,413.0,77.0,0.0,137.0
03602,0.0,0.0,609.0,217.0,2.0,271.0
03801,73.0,21.0,2458.0,2777.0,3.0,1584.0
03810,0.0,0.0,265.0,51.0,0.0,256.0
03833,125.0,19.0,3056.0,2491.0,6.0,2399.0
03841,17.0,0.0,799.0,614.0,49.0,698.0
03844,13.0,15.0,298.0,305.0,15.0,292.0
03862,26.0,0.0,591.0,547.0,0.0,443.0
03883,0.0,0.0,62.0,0.0,0.0,0.0
03063,34.0,0.0,2226.0,1485.0,13.0,1379.0
03054,72.0,0.0,3747.0,2178.0,150.0,2934.0
03077,16.0,0.0,2448.0,533.0,21.0,1035.0
03084,4.0,0.0,253.0,91.0,0.0,135.0
03036,22.0,0.0,860.0,410.0,0.0,552.0
03055,79.0,0.0,2645.0,992.0,0.0,1743.0
03216,5.0,5.0,418.0,240.0,0.0,348.0
03240,0.0,0.0,277.0,90.0,9.0,72.0
03241,0.0,0.0,133.0,69.0,0.0,50.0
03244,3.0,0.0,1454.0,229.0,5.0,1034.0
03279,0.0,0.0,153.0,22.0,13.0,50.0
03280,10.0,0.0,273.0,53.0,0.0,126.0
03281,12.0,0.0,1440.0,536.0,25.0,1089.0
03284,3.0,0.0,236.0,50.0,10.0,63.0
03290,19.0,0.0,824.0,404.0,0.0,583.0
03307,0.0,0.0,1394.0,230.0,0.0,444.0
03034,0.0,0.0,590.0,262.0,0.0,412.0
03582,5.0,0.0,638.0,58.0,0.0,189.0
03585,9.0,0.0,606.0,103.0,25.0,192.0
03753,11.0,6.0,406.0,355.0,0.0,385.0
03592,6.0,0.0,396.0,37.0,5.0,71.0
03781,0.0,0.0,406.0,291.0,0.0,190.0
03784,0.0,0.0,675.0,522.0,20.0,240.0
03785,0.0,0.0,619.0,136.0,20.0,118.0
03812,0.0,0.0,75.0,38.0,0.0,63.0
03819,15.0,0.0,852.0,155.0,0.0,744.0
03825,30.0,0.0,1284.0,759.0,0.0,1103.0
03443,0.0,0.0,122.0,13.0,0.0,60.0
03580,0.0,0.0,197.0,161.0,0.0,65.0
03811,47.0,0.0,860.0,617.0,0.0,928.0
03768,6.0,0.0,170.0,299.0,0.0,230.0
03777,4.0,0.0,230.0,122.0,30.0,162.0
03809,0.0,0.0,580.0,253.0,20.0,563.0
03818,2.0,0.0,828.0,118.0,22.0,243.0
03827,12.0,0.0,467.0,251.0,0.0,461.0
03839,11.0,0.0,557.0,181.0,5.0,458.0
03857,0.0,0.0,1305.0,881.0,0.0,630.0
03860,2.0,0.0,662.0,297.0,114.0,319.0
03886,16.0,0.0,479.0,79.0,0.0,140.0
03901,0.0,0.0,1459.0,356.0,42.0,891.0
03902,0.0,0.0,396.0,142.0,0.0,393.0
03868,0.0,0.0,1400.0,106.0,47.0,489.0
03874,18.0,0.0,2642.0,233.0,37.0,766.0
03875,0.0,0.0,259.0,181.0,0.0,56.0
03878,32.0,0.0,2577.0,495.0,0.0,1075.0
03906,6.0,0.0,1100.0,188.0,0.0,399.0
03908,44.0,0.0,768.0,670.0,0.0,954.0
03872,18.0,2.0,671.0,243.0,0.0,318.0
03840,6.0,9.0,364.0,552.0,0.0,555.0
03867,35.0,0.0,4479.0,717.0,0.0,1780.0
03869,4.0,0.0,407.0,192.0,6.0,325.0
03835,0.0,0.0,1472.0,135.0,20.0,639.0
03836,0.0,0.0,346.0,86.0,0.0,157.0
03051,30.0,0.0,4321.0,1415.0,169.0,2787.0
03052,17.0,0.0,1287.0,381.0,0.0,1302.0
03043,8.0,5.0,205.0,172.0,12.0,147.0
03253,17.0,0.0,900.0,542.0,0.0,586.0
03257,20.0,0.0,266.0,600.0,0.0,348.0
03242,18.0,0.0,417.0,392.0,0.0,440.0
03275,19.0,0.0,2595.0,489.0,8.0,1203.0
03287,2.0,3.0,193.0,222.0,7.0,110.0
03440,16.0,0.0,493.0,108.0,13.0,273.0
03215,0.0,0.0,9.0,34.0,0.0,18.0
03070,25.0,0.0,716.0,410.0,0.0,816.0
03071,40.0,0.0,919.0,289.0,0.0,706.0
03220,0.0,0.0,1543.0,246.0,0.0,869.0
03223,4.0,0.0,706.0,249.0,0.0,349.0
03224,18.0,0.0,266.0,261.0,0.0,228.0
03251,0.0,0.0,340.0,10.0,0.0,68.0
03259,0.0,0.0,86.0,21.0,0.0,12.0
03260,0.0,0.0,81.0,130.0,0.0,43.0
03053,150.0,8.0,3381.0,2116.0,15.0,3206.0
03104,68.0,0.0,4686.0,2323.0,49.0,1753.0
03222,5.0,0.0,1353.0,194.0,47.0,518.0
03226,12.0,0.0,166.0,98.0,0.0,28.0
03064,44.0,0.0,2192.0,1002.0,21.0,1227.0
03101,0.0,0.0,376.0,218.0,0.0,43.0
03217,5.0,0.0,397.0,78.0,34.0,125.0
03218,0.0,0.0,172.0,0.0,19.0,47.0
03221,12.0,0.0,415.0,182.0,18.0,322.0
03230,18.0,0.0,265.0,80.0,10.0,141.0
03256,13.0,0.0,415.0,177.0,0.0,314.0
03273,4.0,0.0,19.0,71.0,0.0,41.0
03233,0.0,0.0,18.0,22.0,0.0,14.0
03246,68.0,0.0,3291.0,895.0,52.0,994.0
03431,34.0,0.0,3535.0,1821.0,29.0,1513.0
03445,2.0,0.0,151.0,31.0,0.0,59.0
03447,0.0,0.0,579.0,88.0,18.0,227.0
03451,0.0,0.0,972.0,193.0,0.0,399.0
03452,0.0,0.0,1211.0,303.0,152.0,447.0
03455,0.0,0.0,528.0,162.0,0.0,158.0
03605,0.0,0.0,269.0,20.0,0.0,43.0
03751,0.0,0.0,132.0,46.0,0.0,14.0
03752,0.0,0.0,174.0,35.0,1.0,50.0
03865,34.0,0.0,1684.0,336.0,0.0,898.0
03845,0.0,0.0,148.0,59.0,0.0,66.0
03855,0.0,0.0,510.0,138.0,0.0,272.0
03856,2.0,0.0,146.0,172.0,7.0,240.0
